09108,A21N,VN-A508,Vietnam Airlines,Nov 2019 (4 years),
42175,B739,N68811,United Airlines,Dec 2013 (10 years),
64301,B739,N292AK,Alaska Airlines,Aug 2018 (5 years),
39392,B738,B-5543,Shandong Airlines,Oct 2010 (13 years),
11468,A21N,TC-RDU,Pegasus,Oct 2023 (Brand new),
4008,DH8D,5Y-VVU,Bluebird Aviation,May 1999 (24 years),
32937,B737,B-2620,China Southern Airlines,Aug 2004 (19 years),
567,A310,EP-MNV,Mahan Air,Jan 1991 (33 years),
259,A388,A6-EVJ,Emirates,Feb 2019 (5 years),
145135,E145,S5-ACJ,Amelia,1999 (25 years),
35965,B738,N8695D,Southwest Airlines,Aug 2016 (7 years),
33346,B738,N339PL,American Airlines,Jun 2017 (6 years),
11249,A21N,TC-LTZ,AJet,Apr 2023 (Brand new),
666,DH8B,7T-VCS,Tassili Airlines,2008 (16 years),
10243,CRJ7,N770SK,American Airlines,Jan 2006 (18 years),
1606,A332,N375HA,Hawaiian Airlines,Jan 2015 (9 years),
145122,E145,FAB6701,Brazil - Air Force,1999 (25 years),
19000039,E190,N238JB,JetBlue Airways,Jun 2006 (17 years),
11473,A21N,HZ-ASAC,Saudia,Aug 2023 (Brand new),
29902,B744,4K-BCV,Silk Way West Airlines,May 2006 (17 years),
19000163,E190,SX-PTM,Camair-Co,2008 (16 years),
41443,B77W,B-2045,Air China,Mar 2014 (10 years),
37989,B77L,N777SA,DHL,Apr 2012 (11 years),
66890,B77L,B-18771,China Airlines,Nov 2020 (3 years),
00847,A319,N811UA,United Airlines,Jun 1998 (25 years),
44840,B738,SP-RSF,Ryanair,May 2018 (5 years),
39045,B738,LN-DYJ,Norwegian,Jan 2011 (13 years),
36199,B77L,D-AALG,AeroLogic,Sep 2010 (13 years),
741,A306,B-2317,Uni-Top Airlines,Aug 1994 (29 years),
41048,B77W,HZ-AK11,Saudia,Nov 2011 (12 years),
352,A359,JA04XJ,Japan Airlines,Sep 2019 (4 years),
63235,B738,B-1408,China Southern Airlines,Aug 2017 (6 years),
36602,B738,VH-VUK,Virgin Australia,Aug 2007 (16 years),
1893,A333,B-304L,Hainan Airlines,Aug 2018 (5 years),
11614,A20N,B-32FV,China Southern Airlines,Nov 2023 (Brand new),
28266,B752,N462UP,UPS,Jun 1997 (26 years),
28776,B738,N12216,United Airlines,Jul 1998 (25 years),
35632,B738,5Y-KYD,Kenya Airways,Jul 2008 (15 years),
0628,AT75,ZK-MCO,Air Chathams,Dec 1999 (24 years),
19000497,E190,B-3187,Hebei Airlines,2011 (13 years),
1835,A332,EC-MSY,Iberia,Nov 2017 (6 years),
429,A359,RA-73153,Aeroflot,Dec 2020 (3 years),
43922,B38M,VT-YAE,Akasa Air,Jun 2019 (4 years),
01005,A320,LY-VEW,United Nations,Apr 1999 (24 years),
1031,A332,B-LNC,Hong Kong Airlines,Nov 2009 (14 years),
37968,B789,G-VOOH,Virgin Atlantic,Jan 2015 (9 years),
67993,B77L,N708GT,MSC Air Cargo,Jul 2023 (Brand new),
39197,B738,B-5713,Hainan Airlines,Mar 2013 (11 years),
38149,B738,B-5636,Hainan Airlines,Jan 2012 (12 years),
39388,B738,B-5501,Shandong Airlines,Mar 2010 (14 years),
43719,B39M,XA-MJJ,Aeromexico,Feb 2022 (2 years),
28762,B737,N16701,United Airlines,Feb 1998 (26 years),
24057,B744,G-BNLO,British Airways,Oct 1990 (33 years),
67994,B77L,N709GT,MSC Air Cargo,Nov 2023 (Brand new),
38882,B738,HP-1829CMP,Copa Airlines,Feb 2013 (11 years),
19020118,E295,EC-OEC,Binter Canarias,2023 (1 year),
67582,B38M,N17327,United Airlines,Nov 2023 (Brand new),
29808,B737,N782SA,Southwest Airlines,Sep 2000 (23 years),
145328,E135,N253JX,JSX,2000 (24 years),
776,A3ST,F-GSTD,Airbus Transport International,Jun 1998 (25 years),
60983,B39M,A6-FNC,FlyDubai,Nov 2018 (5 years),
63105,B763,N174FE,FedEx,Mar 2019 (5 years),
0306,A332,4R-ALB,SriLankan Airlines,Oct 1999 (24 years),
19000303,E195,CS-TAW,TAP Air Portugal,2010 (14 years),
27393,B763,N645GT,Atlas Air,Mar 1995 (29 years),
