c-fyns,, ,28 Mar 2024,Toronto (YYZ),Miami (MIA),AC1200,—,12:10,—,15:35,,Estimated departure 12:10, Play, 
c-fyns,, ,28 Mar 2024,Miami (MIA),Toronto (YYZ),AC1199,—,08:00,—,11:20,,Estimated departure 08:28, Play, 
c-fyns,, ,27 Mar 2024,Toronto (YYZ),Miami (MIA),AC1204,—,20:55,—,00:15,,Estimated departure 21:05, Play, 
c-fyns,, ,27 Mar 2024,Montreal (YUL),Toronto (YYZ),AC423,—,18:10,—,19:46,,Estimated departure 18:20, Play, 
c-fyns,, ,27 Mar 2024,Toronto (YYZ),Montreal (YUL),AC414,—,14:00,—,15:20,,Estimated departure 14:00, Play, 
c-fyns,, ,27 Mar 2024,Montreal (YUL),Toronto (YYZ),AC409,—,11:10,—,12:46,,Estimated departure 11:10, Play, 
c-fyns,, ,27 Mar 2024,Toronto (YYZ),Montreal (YUL),AC404,0:50,09:00,09:28,10:20,,Landed 10:18,KML CSV  Play, 
c-fyns,, ,26 Mar 2024,Chicago (ORD),Toronto (YYZ),AC510,1:06,20:35,21:07,23:08,,Landed 23:13,KML CSV  Play, 
c-fyns,, ,26 Mar 2024,Toronto (YYZ),Chicago (ORD),AC509,1:14,18:35,19:06,19:37,,Landed 19:20,KML CSV  Play, 
c-fyns,, ,26 Mar 2024,Ottawa (YOW),Toronto (YYZ),AC459,0:44,16:00,16:52,17:20,,Landed 17:36,KML CSV  Play, 
c-fyns,, ,26 Mar 2024,Toronto (YYZ),Ottawa (YOW),AC454,0:39,14:10,14:59,15:15,,Landed 15:38,KML CSV  Play, 
c-fyns,, ,26 Mar 2024,Chicago (ORD),Toronto (YYZ),AC502,1:06,10:00,11:21,12:33,,Landed 13:27,KML CSV  Play, 
c-fyns,, ,26 Mar 2024,Toronto (YYZ),Chicago (ORD),AC501,1:21,08:00,09:42,09:02,,Landed 10:03,KML CSV  Play, 
c-fyns,, ,25 Mar 2024,Chicago (ORD),Toronto (YYZ),AC506,0:58,16:35,18:09,19:08,,Landed 20:06,KML CSV  Play, 
c-fyns,, ,25 Mar 2024,Toronto (YYZ),Chicago (ORD),AC505,1:22,14:35,16:14,15:37,,Landed 16:36,KML CSV  Play, 
c-fyns,, ,25 Mar 2024,Montreal (YUL),Toronto (YYZ),AC413,0:58,13:10,13:40,14:46,,Landed 14:39,KML CSV  Play, 
c-fyns,, ,25 Mar 2024,Miami (MIA),Montreal (YUL),AC1207,3:07,08:00,09:01,11:36,,Landed 12:08,KML CSV  Play, 
c-fyns,, ,24 Mar 2024,Montreal (YUL),Miami (MIA),AC1208,3:07,18:45,20:34,22:40,,Landed 23:41,KML CSV  Play, 
c-fyns,, ,24 Mar 2024,Miami (MIA),Montreal (YUL),AC1209,3:08,14:00,15:32,17:36,,Landed 18:40,KML CSV  Play, 
c-fyns,, ,24 Mar 2024,Montreal (YUL),Miami (MIA),AC1206,3:06,08:30,09:21,12:25,,Landed 12:27,KML CSV  Play, 
c-fyns,, ,23 Mar 2024,Toronto (YYZ),Montreal (YUL),AC494,0:50,22:30,23:35,23:50,,Landed 00:25,KML CSV  Play, 
c-fyns,, ,23 Mar 2024,Halifax (YHZ),Toronto (YYZ),AC619,2:06,18:55,20:47,20:37,,Landed 21:53,KML CSV  Play, 
c-fyns,, ,23 Mar 2024,Toronto (YYZ),Halifax (YHZ),AC612,1:40,14:50,16:35,17:53,,Landed 19:15,KML CSV  Play, 
c-fyns,, ,23 Mar 2024,Halifax (YHZ),Toronto (YYZ),AC609,2:13,12:10,13:34,13:44,,Landed 14:46,KML CSV  Play, 
c-fyns,, ,23 Mar 2024,Toronto (YYZ),Halifax (YHZ),AC604,1:30,08:00,09:04,11:07,,Landed 11:34,KML CSV  Play, 
c-fyns,, ,22 Mar 2024,Halifax (YHZ),Toronto (YYZ),AC609,2:18,12:10,13:09,13:44,,Landed 14:27,KML CSV  Play, 
c-fyns,, ,22 Mar 2024,Toronto (YYZ),Halifax (YHZ),AC604,1:33,08:00,09:02,11:07,,Landed 11:35,KML CSV  Play, 
c-fyns,, ,21 Mar 2024,Chicago (ORD),Toronto (YYZ),AC506,1:05,16:35,16:58,19:08,,Landed 19:03,KML CSV  Play, 
c-fyns,, ,21 Mar 2024,Toronto (YYZ),Chicago (ORD),AC505,1:23,14:35,15:03,15:37,,Landed 15:26,KML CSV  Play, 
c-fyns,, ,21 Mar 2024,Fredericton (YFC),Toronto (YYZ),AC1193,1:38,12:00,12:42,13:08,,Landed 13:20,KML CSV  Play, 
c-fyns,, ,21 Mar 2024,Toronto (YYZ),Fredericton (YFC),AC1190,1:21,08:20,08:49,11:04,,Landed 11:10,KML CSV  Play, 
c-fyns,, ,21 Mar 2024,Fredericton (YFC),Toronto (YYZ),AC1191,1:39,05:10,05:36,06:18,,Landed 06:15,KML CSV  Play, 
c-fyns,, ,20 Mar 2024,Toronto (YYZ),Fredericton (YFC),AC1194,1:22,21:40,23:20,00:24,,Landed 01:41,KML CSV  Play, 
c-fyns,, ,20 Mar 2024,Miami (MIA),Toronto (YYZ),AC1203,3:02,16:25,17:03,19:45,,Landed 20:05,KML CSV  Play, 
c-fyns,, ,20 Mar 2024,Toronto (YYZ),Miami (MIA),AC1200,2:36,12:05,13:00,15:30,,Landed 15:36,KML CSV  Play, 
c-fyns,, ,20 Mar 2024,Miami (MIA),Toronto (YYZ),AC1199,2:58,08:00,08:27,11:20,,Landed 11:25,KML CSV  Play, 
c-fyns,, ,19 Mar 2024,Toronto (YYZ),Miami (MIA),AC1204,2:31,20:55,00:00,00:15,,Landed 02:30,KML CSV  Play, 
c-fyns,, ,19 Mar 2024,Halifax (YHZ),Toronto (YYZ),AC619,1:58,18:55,19:32,20:37,,Landed 20:30,KML CSV  Play, 
c-fyns,, ,19 Mar 2024,Toronto (YYZ),Halifax (YHZ),AC612,1:47,14:50,15:30,17:53,,Landed 18:17,KML CSV  Play, 
c-fyns,, ,19 Mar 2024,Halifax (YHZ),Toronto (YYZ),AC609,1:55,12:10,12:47,13:44,,Landed 13:42,KML CSV  Play, 
c-fyns,, ,19 Mar 2024,Toronto (YYZ),Halifax (YHZ),AC604,1:45,08:00,08:29,11:07,,Landed 11:14,KML CSV  Play, 
c-fyns,, ,19 Mar 2024,Sydney (YQY),Toronto (YYZ),AC1175,2:28,05:00,05:18,06:52,,Landed 06:47,KML CSV  Play, 
c-fyns,, ,18 Mar 2024,Toronto (YYZ),Sydney (YQY),AC1174,1:59,21:35,22:47,00:58,,Landed 01:45,KML CSV  Play, 
c-fyns,, ,18 Mar 2024,St. John's (YYT),Toronto (YYZ),AC697,3:07,18:05,19:35,20:31,,Landed 21:12,KML CSV  Play, 
c-fyns,, ,18 Mar 2024,Toronto (YYZ),St. John's (YYT),AC690,2:28,12:45,14:18,17:19,,Landed 18:16,KML CSV  Play, 
c-fyns,, ,18 Mar 2024,Halifax (YHZ),Toronto (YYZ),AC605,2:00,10:10,11:24,11:52,,Landed 12:24,KML CSV  Play, 
c-fyns,, ,18 Mar 2024,Toronto (YYZ),Halifax (YHZ),AC600,1:39,06:15,07:15,09:22,,Landed 09:54,KML CSV  Play, 
c-fyns,, ,17 Mar 2024,Halifax (YHZ),Toronto (YYZ),AC619,2:09,18:55,19:13,20:37,,Landed 20:21,KML CSV  Play, 
c-fyns,, ,17 Mar 2024,Toronto (YYZ),Halifax (YHZ),AC612,1:30,14:50,15:15,17:53,,Landed 17:45,KML CSV  Play, 
c-fyns,, ,17 Mar 2024,Halifax (YHZ),Toronto (YYZ),AC609,1:56,12:10,12:24,13:44,,Landed 13:21,KML CSV  Play, 
c-fyns,, ,17 Mar 2024,Toronto (YYZ),Halifax (YHZ),AC604,1:37,08:00,08:37,11:07,,Landed 11:14,KML CSV  Play, 
c-fyns,, ,16 Mar 2024,Halifax (YHZ),Toronto (YYZ),AC619,2:09,18:55,19:24,20:37,,Landed 20:33,KML CSV  Play, 
c-fyns,, ,16 Mar 2024,Toronto (YYZ),Halifax (YHZ),AC612,1:31,14:50,15:27,17:53,,Landed 17:58,KML CSV  Play, 
c-fyns,, ,16 Mar 2024,Halifax (YHZ),Toronto (YYZ),AC609,2:08,12:10,12:49,13:44,,Landed 13:57,KML CSV  Play, 
c-fyns,, ,16 Mar 2024,Toronto (YYZ),Halifax (YHZ),AC604,1:38,08:00,08:48,11:07,,Landed 11:26,KML CSV  Play, 
c-fyns,, ,15 Mar 2024,Ottawa (YOW),Toronto (YYZ),AC463,0:47,18:00,18:15,19:20,,Landed 19:01,KML CSV  Play, 
c-fyns,, ,15 Mar 2024,Toronto (YYZ),Ottawa (YOW),AC458,0:36,16:10,16:32,17:15,,Landed 17:08,KML CSV  Play, 
c-fyns,, ,15 Mar 2024,Ottawa (YOW),Toronto (YYZ),AC455,0:46,14:00,14:26,15:20,,Landed 15:12,KML CSV  Play, 
c-fyns,, ,15 Mar 2024,Toronto (YYZ),Ottawa (YOW),AC450,0:35,12:10,12:26,13:15,,Landed 13:02,KML CSV  Play, 
c-fyns,, ,15 Mar 2024,Montreal (YUL),Toronto (YYZ),AC401,0:58,07:00,09:46,08:36,,Landed 10:44,KML CSV  Play, 
c-fyns,, ,14 Mar 2024,Toronto (YYZ),Montreal (YUL),AC428,0:48,21:30,21:50,22:50,,Landed 22:38,KML CSV  Play, 
c-fyns,, ,14 Mar 2024,Halifax (YHZ),Toronto (YYZ),AC619,2:17,18:55,19:05,20:37,,Landed 20:22,KML CSV  Play, 
c-fyns,, ,14 Mar 2024,Toronto (YYZ),Halifax (YHZ),AC612,1:34,14:50,15:23,17:53,,Landed 17:57,KML CSV  Play, 
c-fyns,, ,14 Mar 2024,Montreal (YUL),Toronto (YYZ),AC411,0:58,12:10,12:21,13:36,,Landed 13:18,KML CSV  Play, 
c-fyns,, ,14 Mar 2024,Toronto (YYZ),Montreal (YUL),AC406,0:49,10:00,10:19,11:16,,Landed 11:08,KML CSV  Play, 
c-fyns,, ,14 Mar 2024,Montreal (YUL),Toronto (YYZ),AC481,0:57,06:00,06:18,07:40,,Landed 07:16,KML CSV  Play, 
c-fyns,, ,13 Mar 2024,Toronto (YYZ),Montreal (YUL),AC430,0:48,23:30,00:00,00:46,,Landed 00:48,KML CSV  Play, 
c-fyns,, ,13 Mar 2024,Halifax (YHZ),Toronto (YYZ),AC619,2:00,18:55,19:21,20:37,,Landed 20:21,KML CSV  Play, 
c-fyns,, ,13 Mar 2024,Toronto (YYZ),Halifax (YHZ),AC612,1:46,14:50,15:07,17:53,,Landed 17:53,KML CSV  Play, 
c-fyns,, ,13 Mar 2024,Halifax (YHZ),Toronto (YYZ),AC609,1:51,12:10,12:39,13:44,,Landed 13:30,KML CSV  Play, 
c-fyns,, ,13 Mar 2024,Toronto (YYZ),Halifax (YHZ),AC604,1:48,08:00,08:27,11:07,,Landed 11:15,KML CSV  Play, 
c-fyns,, ,13 Mar 2024,Ottawa (YOW),Toronto (YYZ),AC471,0:46,05:20,05:52,06:40,,Landed 06:39,KML CSV  Play, 
c-fyns,, ,12 Mar 2024,Toronto (YYZ),Ottawa (YOW),AC466,0:39,20:10,21:59,21:15,,Landed 22:38,KML CSV  Play, 
c-fyns,, ,12 Mar 2024,Halifax (YHZ),Toronto (YYZ),AC619,1:53,18:55,19:09,20:37,,Landed 20:02,KML CSV  Play, 
c-fyns,, ,12 Mar 2024,Toronto (YYZ),Halifax (YHZ),AC612,1:47,14:50,15:04,17:53,,Landed 17:51,KML CSV  Play, 
c-fyns,, ,12 Mar 2024,Halifax (YHZ),Toronto (YYZ),AC609,1:54,12:10,12:27,13:44,,Landed 13:21,KML CSV  Play, 
c-fyns,, ,12 Mar 2024,Toronto (YYZ),Halifax (YHZ),AC604,1:42,08:00,08:29,11:07,,Landed 11:11,KML CSV  Play, 
c-fyns,, ,11 Mar 2024,Halifax (YHZ),Toronto (YYZ),AC619,1:52,18:55,19:14,20:37,,Landed 20:07,KML CSV  Play, 
c-fyns,, ,11 Mar 2024,Toronto (YYZ),Halifax (YHZ),AC612,1:42,14:50,15:18,17:53,,Landed 18:00,KML CSV  Play, 
c-fyns,, ,11 Mar 2024,Halifax (YHZ),Toronto (YYZ),AC609,1:55,12:10,13:03,13:44,,Landed 13:59,KML CSV  Play, 
c-fyns,, ,11 Mar 2024,Toronto (YYZ),Halifax (YHZ),AC604,1:45,08:00,08:28,11:07,,Landed 11:12,KML CSV  Play, 
c-fyns,, ,11 Mar 2024,Halifax (YHZ),Toronto (YYZ),AC601,1:59,05:00,05:33,06:42,,Landed 06:32,KML CSV  Play, 
c-fyns,, ,10 Mar 2024,Toronto (YYZ),Halifax (YHZ),AC620,1:46,21:40,23:05,00:47,,Landed 01:51,KML CSV  Play, 
c-fyns,, ,10 Mar 2024,San Diego (SAN),Toronto (YYZ),AC1094,4:35,12:25,13:09,20:05,,Landed 20:43,KML CSV  Play, 
c-fyns,, ,10 Mar 2024,Toronto (YYZ),San Diego (SAN),AC1093,4:39,09:00,09:48,11:40,,Landed 11:27,KML CSV  Play, 
c-fyns,, ,09 Mar 2024,Kelowna (YLW),Toronto (YYZ),AC194,3:51,23:10,00:05,07:33,,Landed 07:56,KML CSV  Play, 
c-fyns,, ,09 Mar 2024,Toronto (YYZ),Kelowna (YLW),AC195,4:18,20:10,20:34,22:09,,Landed 21:52,KML CSV  Play, 
c-fyns,, ,08 Mar 2024,San Diego (SAN),Toronto (YYZ),AC1094,3:59,12:25,13:14,20:05,,Landed 20:13,KML CSV  Play, 
c-fyns,, ,08 Mar 2024,Toronto (YYZ),San Diego (SAN),AC1093,4:47,09:00,10:02,11:40,,Landed 11:48,KML CSV  Play, 
c-fyns,, ,06 Mar 2024,Halifax (YHZ),Toronto (YYZ),AC619,2:13,18:55,19:04,20:37,,Landed 20:17,KML CSV  Play, 
c-fyns,, ,06 Mar 2024,Toronto (YYZ),Halifax (YHZ),AC612,1:35,14:50,15:09,17:53,,Landed 17:44,KML CSV  Play, 
c-fyns,, ,06 Mar 2024,Halifax (YHZ),Toronto (YYZ),AC609,2:06,12:10,12:20,13:44,,Landed 13:26,KML CSV  Play, 
c-fyns,, ,06 Mar 2024,Toronto (YYZ),Halifax (YHZ),AC604,1:39,08:00,08:21,11:07,,Landed 11:00,KML CSV  Play, 
c-fyns,, ,05 Mar 2024,Calgary (YYC),Toronto (YYZ),AC144,3:15,18:10,18:43,00:05,,Landed 23:59,KML CSV  Play, 
c-fyns,, ,05 Mar 2024,Toronto (YYZ),Calgary (YYC),AC143,3:42,14:45,15:08,17:10,,Landed 16:49,KML CSV  Play, 
c-fyns,, ,05 Mar 2024,Montreal (YUL),Toronto (YYZ),AC409,0:53,11:10,11:32,12:46,,Landed 12:25,KML CSV  Play, 
c-fyns,, ,05 Mar 2024,Toronto (YYZ),Montreal (YUL),AC404,0:53,09:00,09:20,10:20,,Landed 10:14,KML CSV  Play, 
c-fyns,, ,04 Mar 2024,Halifax (YHZ),Toronto (YYZ),AC621,2:01,22:00,22:12,23:42,,Landed 23:13,KML CSV  Play, 
c-fyns,, ,04 Mar 2024,Toronto (YYZ),Halifax (YHZ),AC614,1:44,16:45,16:57,19:52,,Landed 19:41,KML CSV Play, 
c-fyns,, ,04 Mar 2024,Deer Lake (YDF),Toronto (YYZ),AC1173,2:40,13:20,14:20,15:17,,Landed 15:30,KML CSV Play, 
c-fyns,, ,04 Mar 2024,Toronto (YYZ),Deer Lake (YDF),AC1172,2:11,08:10,09:39,12:17,,Landed 13:19,KML CSV Play, 
c-fyns,, ,03 Mar 2024,San Diego (SAN),Toronto (YYZ),AC1094,3:51,12:25,14:16,20:05,,Landed 21:07,KML CSV Play, 
